,0,p_value,relevant,trigger
1448363833,0.0710949641591215,0.09432425272097338,,开始; 1. Performance begins; 
1448363848,0.10011857385794712,0.1083138315551129,,
1448363863,0.1511493822511252,0.055987797841703726,,
1448363878,0.13891885332210668,0.1046968906678259,,
1448363893,0.10139042298507403,0.12192292839638952,,小马出场; 
1448363908,0.07495699586143786,0.13572621720985872,,
1448363923,0.07269885396830916,0.08848187031659978,,
1448363938,0.11356736975488275,0.12328386812760493,,
1448363953,0.1236521316058076,0.13963270868106678,,
1448363968,0.0994752918006258,0.09615442761305844,,Joey's first neigh; 
1448363983,0.09998295345883784,0.08679248557108485,,
1448363998,0.09258765512585296,0.12277814206917075,,第一场结束; Man starts singing; 
1448364013,0.08298954077487815,0.1287764118511659,,
1448364028,0.10229438796038047,0.06270020768886198,,
1448364043,0.16490526371996672,0.013314055178573474,True,开始抓小马; 
1448364058,0.2130320248577844,0.024034529192711387,True,
1448364073,0.2028932366061222,0.02423920871865437,True,拍卖开始; Auction begins; 
1448364088,0.21293037367515505,0.03592558101824322,True,
1448364103,0.21811848263037428,0.08775996303267009,,
1448364118,0.14267380808723282,0.09183472495742817,,
1448364133,0.11924552710231805,0.05806163349907384,,
1448364148,0.20005922212243502,0.01233997408631497,True,
1448364163,0.2115500459915881,0.009801935549325071,True,
1448364178,0.1577316432718476,0.025254878415071774,True,
1448364193,0.1240312532904194,0.09676661374695744,,
1448364208,0.10693141797699757,0.09875533208282812,,
1448364223,0.1191191815647584,0.09192701370404924,,
1448364238,0.11793994352591315,0.07867428190588062,,
1448364253,0.11236158472486864,0.08522008031714895,,
1448364268,0.11475201237335543,0.09772182672290973,,
1448364283,0.1177025995394479,0.07723001743270988,,
1448364298,0.1400983392496215,0.10939851292817944,,
1448364313,0.14053020357522267,0.059400058771220364,,
1448364328,0.16649540265707946,0.04096221007627684,True,
1448364343,0.1989264648449504,0.030950095916354912,True,
1448364358,0.1860817164228418,0.040283956113049836,True,
1448364373,0.18018243886340576,0.031668801744089765,True,
1448364388,0.2000137789479312,0.041504498594497334,True,
1448364403,0.2273602327214978,0.03764671794270669,True,第二场结束; 2. Auction ends. Ted bought Joey; 
1448364418,0.22348433298905135,0.015282153806085687,True,
1448364433,0.21367014243508106,0.011249592180958863,True,
1448364448,0.2423166497690777,0.021947174470883263,True,
1448364463,0.22207768553243526,0.009502030814002364,True,
1448364478,0.1600552821390108,0.006868874445002664,True,
1448364493,0.1552981063640021,0.011319076055650808,True,
1448364508,0.14781632443565562,0.049332977608325126,True,
1448364523,0.13098244006918186,0.074927441340617,,
1448364538,0.12358017701341087,0.0902470147201524,,第三场结束; 3. End of scene 3. Rose leaves to scold Ted; 
1448364553,0.10055361715054004,0.12567558153134084,,
1448364568,0.08645242971934101,0.13102339063536128,,
1448364583,0.07515468131718986,0.12790646357802155,,
1448364598,0.060854284082324586,0.12581734275037182,,
1448364613,0.06011870617442834,0.12411882382042967,,
1448364628,0.0609952350600451,0.12989592236618658,,
1448364643,0.06741387952239977,0.13220891909121596,,
1448364658,0.1174374942323259,0.1306047936543924,,
1448364673,0.14773979748855132,0.09177966963272953,,Albert walk backwards towards Joey. ; 小马开始吃燕麦; 
1448364688,0.12248621467002208,0.06370485275340758,,
1448364703,0.09983858487883504,0.07198797258929034,,
1448364718,0.09399859937450257,0.1078269159318393,,
1448364733,0.11046196545876748,0.09698726170773783,,
1448364748,0.194268588445707,0.07269167999393128,,
1448364763,0.26617826567096703,0.08393944074446076,,
1448364778,0.22411079492326436,0.08020317626389849,,
1448364793,0.19622102796457785,0.03932557399042804,True,猫头鹰号角; 
1448364808,0.2495613567161861,0.0367974494148893,True,4. End of scene 4. (0:16:37). Albert picks up the bucket; 
1448364823,0.2590615556599588,0.02055989888320513,True,
1448364838,0.17094550896074984,0.01573587859891371,True,
1448364853,0.1203530364456999,0.009593651022607844,True,
1448364868,0.16754194564459485,0.01148607548593385,True,
1448364883,0.2189200368451806,0.004952082745107832,True,
1448364898,0.2314268570810233,0.011054032943485878,True,
1448364913,0.2507140335411662,0.007372172748032676,True,
1448364928,0.3592853942534257,0.0017427084964559887,True,
1448364943,0.5478722360443387,0.0006427217627126211,True,
1448364958,0.564324878247582,0.0002916131420843551,True,变大马; Joey becomes a big horse; 
1448364973,0.3351458484194012,0.0009622751005963217,True,
1448364988,0.16532390895960816,0.07243286622174107,,第五场结束; 
1448365003,0.125539877041672,0.1137699192587595,,5. End if scene 5. Stage darkens; 
1448365018,0.1121508413555996,0.10141254137845844,,
1448365033,0.14194110259114742,0.11474595476052793,,阿尔伯特再次骑大马出现; Albert appears riding on Joey; 
1448365048,0.16959112922432806,0.1312524618193347,,
1448365063,0.15579631130311752,0.12205870826945413,,
1448365078,0.1281274757953061,0.12891652463319164,,
1448365093,0.07941864387345154,0.13139379933873085,,
1448365108,0.05397338648976894,0.12681742356661074,,
1448365123,0.0828093049351014,0.1097609005359072,,
1448365138,0.11304698375649196,0.10650149086600776,,
1448365153,0.09872347086959787,0.09947796909235256,,
1448365168,0.09072683686330094,0.112253233254639,,第六场结束; End of scene 6. Ted leaves to go for a drink. (0:22:22); 
1448365183,0.11839638584464307,0.1314067241839828,,
1448365198,0.090858678877252,0.12827574421934104,,
1448365213,0.0905588216339884,0.13533773253625214,,
1448365228,0.1975392762345099,0.10061313636105333,,
1448365243,0.2510009916735083,0.0551747030111252,,
1448365258,0.1968011320370891,0.05965901449142795,,
1448365273,0.12019857615560245,0.133086033394052,,Albert pats on Joey and say he will not sell it; 
1448365288,0.09382606109455346,0.11298610112338807,,
1448365303,0.09435314058904716,0.13249829238461874,,第七场结束，鹅啄门，观众笑; End of Scene 7. (0:24:45). Albert exits; 
1448365318,0.07196426865710549,0.09722097890212794,,
1448365333,0.08334286073657515,0.07444932090757095,,
1448365348,0.12074497881815932,0.10789871660374388,,
1448365363,0.12158984716440993,0.06292783314989593,,
1448365378,0.1336429177907822,0.0450180390910432,True,
1448365393,0.21784843666083356,0.023834534939791596,True,Ted whips Joey; 
1448365408,0.2257617085789816,0.01021255051240924,True,Joey kicks Ted; 
1448365423,0.17208945496205144,0.004994959376061835,True,
1448365438,0.18096849043373814,0.004536300436597044,True,
1448365453,0.16708401827361802,0.05336426358708732,,
1448365468,0.1155599988243014,0.0865345936761233,,
1448365483,0.09658869179360394,0.13735982336601008,,
1448365498,0.08605121626447873,0.12838809573666682,,Albert calms Joey with song (lulilule); 
1448365513,0.057820841572958234,0.13115796061689075,,
1448365528,0.05327159211445639,0.0782173920033471,,
1448365543,0.08324684655248057,0.1203084011443513,,
1448365558,0.11051176845337914,0.12061310413587704,,
1448365573,0.09440383686869863,0.11000781630747047,,
1448365588,0.09466863037757384,0.1096030250766812,,
1448365603,0.1553833051876186,0.12672633849058418,,
1448365618,0.1894609274048464,0.10279005256037753,,
1448365633,0.14856348851315646,0.08946056591284997,,
1448365648,0.10644026872119948,0.04066782610288276,True,
1448365663,0.10671139729037024,0.09593784800220044,,
1448365678,0.13334964477923053,0.058318979794150676,,"End of scene 8 (0:29:47). Rose lets go of Albert's hand and said, ' don't grow up'. ; "
1448365693,0.15794464109530032,0.07901980674604844,,第八场结束; 
1448365708,0.1472108466650834,0.08146041661904171,,
1448365723,0.10770818605415787,0.09587209715730156,,
1448365738,0.07781180534914903,0.09405624360439632,,
1448365753,0.07560922178298883,0.08194910665252607,,
1448365768,0.13526732462683774,0.02297458984806862,True,
1448365783,0.19878352727824775,0.009325726589630092,True,
1448365798,0.2076713275565734,0.01380266165872396,True,
1448365813,0.19998828705889732,0.027849672217009184,True,
1448365828,0.1516004541832129,0.02292745579137445,True,
1448365843,0.1115861410103801,0.011731791581745449,True,乔伊第一次成功套上轭; Joey wears harness; 
1448365858,0.11317995666951275,0.03185460571353612,True,
1448365873,0.1239260499919971,0.062214756335895724,,
1448365888,0.1570051770979749,0.08533520309210972,,
1448365903,0.16726283742656953,0.046983711584148505,True,Albert shoos goose; 
1448365918,0.1358166352371498,0.049179019291185136,True,
1448365933,0.12385964788200385,0.0469299436853737,True,
1448365948,0.17623127753802306,0.018206103815170287,True,
1448365963,0.2055647989858291,0.0016114931463294966,True,
1448365978,0.1935513350535896,0.0010646460089599416,True,
1448365993,0.16228597882759244,0.024446828796514303,True,
1448366008,0.13822713599661499,0.03436689488688582,True,
1448366023,0.1738244738090065,0.011075207823083749,True,
1448366038,0.1877219610431712,0.009154017210254613,True,
1448366053,0.1668875254236646,0.0076892776732176435,True,乔伊第二次拉犁尝试; 
1448366068,0.16526033395444345,0.009848585877229957,True,
1448366083,0.15563426679123146,0.030983646558687718,True,乔伊拉不动犁跪下; Music stops; 
1448366098,0.11578602801638918,0.038445090137139294,True,
1448366113,0.10050482713139927,0.03850765910261995,True,第九场结束; 
1448366128,0.17388165791205432,0.027885918637004143,True,Goose flies off stage; 
1448366143,0.21031948871053294,0.003513833215765712,True,
1448366158,0.22494203992325296,0.002896776780538646,True,
1448366173,0.3030878045287399,0.003616358473899432,True,
1448366188,0.2883060482075499,0.004608326766698565,True,
1448366203,0.19756619264693356,0.002153341388988629,True,
1448366218,0.1619795583872978,0.022595300615527992,True,
1448366233,0.16474062879039034,0.0269428866485243,True,
1448366248,0.1774812600919609,0.004833338952015107,True,
1448366263,0.18112847634307971,0.0028926834382257023,True,
1448366278,0.15723383822909026,0.0016862774555794302,True,Song begins. ; 乔伊拉动了犁，歌声开始; 
1448366293,0.21908012635127613,0.001463927372452325,True,
1448366308,0.3375515134476169,0.0015348902743879365,True,
1448366323,0.2895469699448945,0.001913548123123868,True,
1448366338,0.16392794794224672,0.009283861541751402,True,泰德打赌成功; Everyone cheers. Joey reaches the end of line; 
1448366353,0.1271616207057019,0.0575305789565361,,
1448366368,0.12997639034004202,0.09463348717331986,,
1448366383,0.12005058412806985,0.1147555937338101,,Ringing ; 
1448366398,0.12085038994531985,0.08208878633082024,,
1448366413,0.15027164480162533,0.09597711500097117,,
1448366428,0.13578756711583514,0.051599003348837456,,第十场结束; End of scene 10. Rose leaves the stage. (0:42:12); 
1448366443,0.11439364608155472,0.028372803018267525,True,
1448366458,0.13616544643355827,0.038037104728930016,True,
1448366473,0.1389606433079625,0.07277103386860019,,
1448366488,0.13893091582751949,0.07737384139153307,,
1448366503,0.19298658594772508,0.036580345683096635,True,
1448366518,0.21030489941365368,0.03940750600739201,True,
1448366533,0.1731369011692171,0.029998354844001887,True,
1448366548,0.16048575093144887,0.07804601392194649,,
1448366563,0.1460580467957882,0.04616529661106339,True,
1448366578,0.1018032040074065,0.07876076364382117,,
1448366593,0.08189925684844182,0.10766768289922866,,
1448366608,0.10742185588075888,0.1168214938456154,,
1448366623,0.1767962206048677,0.07802975559188016,,
1448366638,0.2541976355386765,0.039096667947196684,True,
1448366653,0.2334310188239249,0.0020970468148595873,True,
1448366668,0.2176967949824339,0.0003198596910711179,True,
1448366683,0.24272664383510015,0.0004339441632991722,True,Joey walks to the centre of the stage. Drum rolls; 
1448366698,0.2016349023854736,0.0011801058584457425,True,
1448366713,0.2323968612732571,0.0002859446227393025,True,
1448366728,0.3026535938288853,0.0002582386084562303,True,
1448366743,0.2877221344587502,0.000212133281234831,True,
1448366758,0.2644241849046736,0.0008516205807437432,True,
1448366773,0.2583426688590574,0.00453469422968281,True,
1448366788,0.24246287969568206,0.011040303728364904,True,
1448366803,0.2549164476571082,0.004366022061857838,True,
1448366818,0.266704021232513,0.0004991434031158605,True,
1448366833,0.2895964754862874,5.64677761764331e-05,True,
1448366848,0.27902901210083314,0.00027528782156478775,True,
1448366863,0.20078787838904275,0.0020427157564659073,True,
1448366878,0.2011406109698564,0.05736533197804899,,
1448366893,0.2086732956742048,0.028317052229865938,True,
1448366908,0.13250596241409635,0.040029464292433266,True,
1448366923,0.10242056429989876,0.04701962832456828,True,
1448366938,0.1902955575224889,0.025840266835990205,True,
1448366953,0.24585193780429945,0.012245589279383908,True,
1448366968,0.23180422071573975,0.0020195736821875397,True,阿尔伯特和乔伊告别中途被强迫分开; Albert says goodbye to Joey. ; 
1448366983,0.2324071032653511,0.006124447378739253,True,
1448366998,0.21250400510480974,0.013158434274335551,True,
1448367013,0.16077144853528547,0.0095969842375917,True,第十一场结束; 
1448367028,0.1330649955616539,0.03340774935912126,True,End of scene 11 (0:52:00). Rose exits.; 
1448367043,0.21773540965406832,0.002387995420524601,True,
1448367058,0.3577616792558231,0.0007398845534304424,True,
1448367073,0.3409287399105252,0.00038640575648345713,True,
1448367088,0.2319357663838251,0.0002989184255112321,True,
1448367103,0.17073423889365388,0.01034472301472761,True,枪响，乔伊被吓到; First gun triggers; 
1448367118,0.1244476148848374,0.01748322934110599,True,
1448367133,0.13027596246653592,0.04845881051842301,True,
1448367148,0.17744848817810088,0.11087868316312632,,
1448367163,0.19162586225124373,0.12260912422642385,,第十二场结束; 
1448367178,0.16705744108082712,0.10110624963914862,,
1448367193,0.10623059808060352,0.12893421071654473,,
1448367208,0.07378821446430303,0.0997329017915724,,
1448367223,0.1120821334715609,0.1254574194891163,,
1448367238,0.14256348990910714,0.13229770630104648,,
1448367253,0.13389029283526566,0.1004204920952397,,
1448367268,0.14212917111912618,0.10515252903755183,,两匹马腾空对峙; 
1448367283,0.14629446839836288,0.07409878272285468,,
1448367298,0.13639423134652018,0.015954193152432572,True,
1448367313,0.1838038841708948,0.009701871537322913,True,
1448367328,0.21595231111624716,0.010273570805149136,True,第十三场结束; 
1448367343,0.16474856377886002,0.07993524024707208,,End of scene 13. Captain salutes each other.  (0:56:59); 
1448367358,0.15925124299232332,0.06722547554719217,,
1448367373,0.2358874856187632,0.05701659941858221,,
1448367388,0.25929244476645885,0.008258326074803039,True,
1448367403,0.2602620851175773,0.0019545735069988355,True,第十四场结束; End of scene 14. Boat scene and song ends(0:58:01); 
1448367418,0.24237176571224836,0.006913330481985504,True,
1448367433,0.16368539642552807,0.02371653536133714,True,
1448367448,0.15050597326348367,0.047273954441457086,True,
1448367463,0.2385032298796081,0.03552509449684352,True,
1448367478,0.2895659413030948,0.02093813328200498,True,
1448367493,0.2285722854693167,0.016618686566383552,True,
1448367508,0.15513590541032068,0.056993839949381175,,
1448367523,0.13203328546431967,0.10894078223365056,,
1448367538,0.15678164343218767,0.06155614232483851,,
1448367553,0.19755533230062566,0.03700765360803401,True,第十五场结束; 
1448367568,0.2424266763680918,0.033600295409023664,True,End of scene 15. Soldiers reply together. (1:00:40); 
1448367583,0.2542875492929777,0.004786087774800343,True,
1448367598,0.26585515345773275,0.0023705449643286864,True,
1448367613,0.2509226331225951,0.0019532886748882014,True,
1448367628,0.15245560636824335,0.0038548012220338368,True,Captain shouts charge.. ; 
1448367643,0.08136742349748821,0.08327097520985678,,尼克尔斯阵亡; Explosion; 
1448367658,0.06576396641931831,0.1268446265818422,,
1448367673,0.09096074033281537,0.11426358949863985,,
1448367688,0.19528209451031173,0.0020717692001052807,True,
1448367703,0.2817307165819559,0.0003275137121944933,True,
1448367718,0.2362790037488393,0.0005461033499007219,True,
1448367733,0.17146949527578573,0.0012229989488885262,True,Song starts; 
1448367748,0.18362493470714267,0.0022900248359375873,True,
1448367763,0.2058396198189089,0.003211874772137734,True,第十六场结束; End of scene 16. end of song. (01:03:51); 
1448367778,0.19840338591380588,0.01164668681529855,True,
1448367793,0.22289249731400487,0.02473985156423124,True,
1448367808,0.23888508089553426,0.006790249091913274,True,
1448367823,0.2187275519900064,0.010205037972645421,True,
1448367838,0.19089286227874352,0.002880583171976318,True,
1448367853,0.16590026518269566,0.0012661324599852403,True,
1448367868,0.1294245710951837,0.014406906813497343,True,Rose reads letter; 
1448367883,0.11901685486839952,0.07103460115365359,,
1448367898,0.18124221492143425,0.07276712819004097,,
1448367913,0.2099842565777217,0.042528441619789435,True,
1448367928,0.2082223919082906,0.002951512352395872,True,
1448367943,0.22937365546035196,0.0018925368814979387,True,
1448367958,0.23407320711996565,0.002335261551505089,True,
1448367973,0.2266040688636097,0.009539365058813004,True,
1448367988,0.2218061206762884,0.004366428153118671,True,
1448368003,0.25336477598277585,0.0010784415863803632,True,
1448368018,0.3221076731836869,0.001137272996646153,True,
1448368033,0.20668769737756265,0.011174243192821164,True,
1448368048,0.05451586274690881,0.13550050476759365,,
1448368063,0.0,0.015625003631612285,True,
1447850904,0.08061968885563413,0.12861955732145627,,OK; 
1447850919,0.07654513022046551,0.11333559805642154,,
1447850934,0.15631630991341605,0.1327120138606876,,
1447850949,0.21825714141801564,0.09256489607569936,,
1447850964,0.17263644745244566,0.09782570581066694,,
1447850979,0.1134292197644178,0.10353368347078623,,
1447850994,0.11027421081669396,0.07002296374474473,,
1447851009,0.1539108493565304,0.038416867601120806,True,
1447851024,0.1838310261487184,0.011922525693158529,True,
1447851039,0.22016775377585074,0.007152990326549466,True,
1447851054,0.22901968305585996,0.03556779052863933,True,
1447851069,0.1895735199206073,0.045712480235813965,True,
1447851084,0.16144256682018146,0.05176767978941808,,
1447851099,0.14252473244253408,0.04561230835282619,True,
1447851114,0.1199923024640634,0.059915712250147815,,
1447851129,0.10797835851945264,0.12293261626013248,,
1447851144,0.09046009962474112,0.1319593325587559,,
1447851159,0.0791124670406625,0.12986379121189295,,
1447851174,0.07757722231281351,0.1169056230016198,,OK; OK; 
1447851189,0.062283887854435616,0.12929819823466066,,
1447851204,0.08105310233021633,0.12924041616352694,,
1447851219,0.12812312333485512,0.10095864915845633,,
1447851234,0.1528914841353344,0.07630092009792377,,
1447851249,0.17135793758666687,0.048715753799623764,True,
1447851264,0.2484166160495079,0.004859155390562726,True,
1447851279,0.3734050281155427,0.002152710937588211,True,
1447851294,0.3768712976876649,0.0012509538086019707,True,
1447851309,0.22903110745703195,0.013717619216938079,True,
1447851324,0.08843635494715367,0.09576249575624636,,
1447851339,0.05085422177972821,0.11417835398397168,,
1447851354,0.08801902999930435,0.1302050904358035,,
1447851369,0.13585310222241867,0.12589250316125716,,
1447851384,0.13589935183847274,0.12635217876805632,,
1447851399,0.08743374214527762,0.1342113794752616,,
1447851414,0.05482448107265099,0.07207143427360843,,
1447851429,0.06586014220491908,0.09912818109227567,,
1447851444,0.07829944502247523,0.12951487229558686,,
1447851459,0.09358336795816424,0.07504955775839953,,
1447851474,0.1293311176432176,0.03184043562004279,True,
1447851489,0.14965853440606494,0.062138759375329936,,
1447851504,0.13549892282621204,0.09486280753557827,,
1447851519,0.11143800606933317,0.11238504866717146,,
1447851534,0.12680791376900188,0.12711299127544656,,
1447851549,0.1620536818582962,0.044963138873246926,True,
1447851564,0.1746970390299678,0.04549351113944836,True,
1447851579,0.15873300903352547,0.051469745363963454,,
1447851594,0.12541278934870478,0.11875703782265762,,
1447851609,0.10268903704814317,0.08501458552689492,,
1447851624,0.11397490876396768,0.04732283773871685,True,
1447851639,0.13803384242482433,0.04945468975052323,True,
1447851654,0.1375211040862767,0.04042700293828913,True,
1447851669,0.144630989525227,0.04912886989002413,True,
1447851684,0.1942565475730325,0.02035072741361497,True,
1447851699,0.20400550697298145,0.015669045522445434,True,
1447851714,0.14591896241958507,0.05278081913710178,,OK; OK; 
1447851729,0.11576062126771396,0.0945527714123648,,
1447851744,0.1514470806560642,0.03980206942692502,True,
1447851759,0.16373955075559332,0.056627560335012615,,
1447851774,0.12686279258429664,0.020532640190255243,True,
1447851789,0.16841580447086035,0.02671455339338439,True,
1447851804,0.25214808292749896,0.005984712118497994,True,
1447851819,0.23970227526278265,0.011574189690339482,True,
1447851834,0.21738365587718605,0.0039563106770283815,True,
